,Unnamed: 0,Ministère (Client),CODE POSTAL,P,HPH,HCH,HPE,HCE,HH (EJP),P (EJP),CP,CHPH,CHCH,CHPE,CHCE,CHH (EJP),CP (EJP),TOTAL ,Electricité 100% verte (oui/non),Département,Région
100,,Ministères économiques et financiers,77600.0,2500.0,2500.0,2500.0,2500.0,2500.0,,,406223.0,2503769.0,2159781.0,3948428.0,2918779.0,,,11936980,OUI,SEINE-ET-MARNE,ILE-DE-FRANCE
101,,Ministères économiques et financiers,77600.0,2500.0,2500.0,2500.0,2500.0,2500.0,,,406223.0,2503769.0,2159781.0,3948428.0,2918779.0,,,11936980,OUI,SEINE-ET-MARNE,ILE-DE-FRANCE
102,,Ministères économiques et financiers,77600.0,2500.0,2500.0,2500.0,2500.0,2500.0,,,406223.0,2503769.0,2159781.0,3948428.0,2918779.0,,,11936980,OUI,SEINE-ET-MARNE,ILE-DE-FRANCE
103,,Ministères économiques et financiers,77600.0,2500.0,2500.0,2500.0,2500.0,2500.0,,,406223.0,2503769.0,2159781.0,3948428.0,2918779.0,,,11936980,OUI,SEINE-ET-MARNE,ILE-DE-FRANCE
104,,Ministères économiques et financiers,93500.0,409.0,409.0,409.0,409.0,409.0,,,45329.0,254447.0,132149.0,221866.0,69341.0,,,723132,OUI,SEINE-SAINT-DENIS,ILE-DE-FRANCE
105,,Ministères économiques et financiers,13008.0,200.0,200.0,200.0,260.0,260.0,,,31354.0,172889.0,77315.0,256313.0,113528.0,,,651399,OUI,BOUCHES-DU-RHONE,PROVENCE-ALPES-COTE D'AZUR
106,,Ministères économiques et financiers,13008.0,300.0,300.0,300.0,300.0,300.0,,,35452.0,230266.0,170598.0,370262.0,247466.0,,,1054044,OUI,BOUCHES-DU-RHONE,PROVENCE-ALPES-COTE D'AZUR
107,,Ministères économiques et financiers,95520.0,,,,600.0,600.0,600.0,10.0,,,,1198412.0,837225.0,1254946.0,3951.0,3294534,,VAL-D'OISE,ILE-DE-FRANCE
108,,Ministères économiques et financiers,75013.0,,,,1300.0,1300.0,1050.0,,,,,2010815.0,826128.0,1772767.0,,4609710,,PARIS,ILE-DE-FRANCE
109,,Ministères économiques et financiers,75009.0,430.0,430.0,430.0,430.0,430.0,,,55732.0,311336.0,148670.0,465538.0,187969.0,,,1169245,OUI,PARIS,ILE-DE-FRANCE
110,,Ministères économiques et financiers,35000.0,362.0,408.0,408.0,408.0,408.0,,,89714.0,481242.0,385181.0,785571.0,524223.0,,,2265931,OUI,ILLE-ET-VILAINE,BRETAGNE
111,,Ministères économiques et financiers,69600.0,178.0,250.0,250.0,286.0,286.0,,,26627.0,149869.0,97249.0,258940.0,129400.0,,,662085,OUI,RHONE,RHONE-ALPES
112,,Ministères économiques et financiers,93100.0,990.0,1023.0,1023.0,1023.0,1023.0,,,148854.0,752603.0,319059.0,1170530.0,463151.0,,,2854197,OUI,SEINE-SAINT-DENIS,ILE-DE-FRANCE
113,,Ministères économiques et financiers,93160.0,487.0,555.0,555.0,555.0,555.0,,,51818.0,324756.0,47595.0,321370.0,51866.0,,,797405,OUI,SEINE-SAINT-DENIS,ILE-DE-FRANCE
114,,Ministères économiques et financiers,93160.0,1336.0,1336.0,1336.0,1336.0,1336.0,,,297703.0,1562197.0,1109095.0,2100767.0,897834.0,,,5967596,OUI,SEINE-SAINT-DENIS,ILE-DE-FRANCE
115,,Ministères économiques et financiers,31000.0,230.0,230.0,230.0,250.0,250.0,,,19418.0,104889.0,49844.0,137156.0,51349.0,,,362656,OUI,HAUTE-GARONNE,MIDI-PYRENEES
116,,Ministères économiques et financiers,31000.0,250.0,250.0,250.0,250.0,250.0,,,21704.0,108754.0,47874.0,138122.0,49174.0,,,365628,OUI,HAUTE-GARONNE,MIDI-PYRENEES
117,,Ministères économiques et financiers,38000.0,270.0,270.0,270.0,290.0,290.0,,,35394.0,184150.0,76076.0,258513.0,86521.0,,,640654,,ISERE,RHONE-ALPES
118,,Ministères économiques et financiers,67000.0,250.0,250.0,250.0,250.0,250.0,,,36777.0,209478.0,147995.0,378743.0,220870.0,,,993863,,BAS-RHIN,ALSACE
119,,Ministères économiques et financiers,67000.0,310.0,310.0,310.0,310.0,310.0,,,59574.0,301453.0,160726.0,394137.0,176525.0,,,1092415,,BAS-RHIN,ALSACE
120,,Ministères économiques et financiers,68026.0,390.0,390.0,390.0,390.0,390.0,,,61985.0,336535.0,204768.0,502631.0,310169.0,,,1416088,,,ALSACE
