,CHCE,CHCH,CHH (EJP),CHPE,CHPH,CODE POSTAL,CP,CP (EJP),Département,Electricité 100% verte (oui/non),HCE,HCH,HH (EJP),HPE,HPH,Ministère (Client),P,P (EJP),Région,TOTAL,Unnamed: 0,Unnamed: 0.1
105,21138.0,21038.0,,75138.0,69314.0,14000.0,0.0,,CALVADOS,OUI,84.0,84.0,,84.0,84.0,Ministères économiques et financiers,84.0,,BASSE-NORMANDIE,186628,368,
106,0.0,0.0,,0.0,0.0,14000.0,0.0,,CALVADOS,OUI,102.0,102.0,,102.0,102.0,Ministères économiques et financiers,,,BASSE-NORMANDIE,0,369,
107,11532.0,8853.0,,34032.0,26263.0,14000.0,0.0,,CALVADOS,OUI,60.0,60.0,,60.0,60.0,Ministères économiques et financiers,,,BASSE-NORMANDIE,80680,370,
108,25367.0,19244.0,,103568.0,85538.0,14000.0,0.0,,CALVADOS,OUI,132.0,132.0,,132.0,132.0,Ministères économiques et financiers,,,BASSE-NORMANDIE,233717,371,
109,3276.0,2285.0,,16195.0,13573.0,14700.0,0.0,,CALVADOS,OUI,48.0,48.0,,48.0,48.0,Ministères économiques et financiers,,,BASSE-NORMANDIE,35329,372,
110,5586.0,4139.0,,29484.0,23591.0,50400.0,0.0,,MANCHE,OUI,42.0,42.0,,42.0,42.0,Ministères économiques et financiers,,,BASSE-NORMANDIE,62800,393,
111,43136.0,31003.0,,113864.0,77398.0,50000.0,15990.0,,MANCHE,OUI,105.0,105.0,,105.0,105.0,Ministères économiques et financiers,105.0,,BASSE-NORMANDIE,281391,397,
112,10329.0,7810.0,,45405.0,36897.0,50300.0,0.0,,MANCHE,OUI,48.0,48.0,,48.0,48.0,Ministères économiques et financiers,48.0,,BASSE-NORMANDIE,100441,402,
113,9642.0,7723.0,,40340.0,35818.0,50100.0,0.0,,MANCHE,OUI,78.0,78.0,,78.0,78.0,Ministères économiques et financiers,,,BASSE-NORMANDIE,93523,415,
114,10150.0,10440.0,,34208.0,33751.0,50200.0,0.0,,MANCHE,OUI,60.0,60.0,,60.0,60.0,Ministères économiques et financiers,,,BASSE-NORMANDIE,88549,416,
115,13391.0,32214.0,,18607.0,25969.0,61300.0,4416.0,,ORNE,OUI,48.0,48.0,,48.0,48.0,Ministères économiques et financiers,48.0,,BASSE-NORMANDIE,94597,434,
116,81016.0,61480.0,,206153.0,149020.0,61000.0,30736.0,,ORNE,OUI,180.0,180.0,,180.0,180.0,Ministères économiques et financiers,180.0,,BASSE-NORMANDIE,528405,443,
117,9051.0,6666.0,,35227.0,29795.0,61400.0,0.0,,ORNE,OUI,60.0,60.0,,60.0,60.0,Ministères économiques et financiers,60.0,,BASSE-NORMANDIE,80739,446,
